2022-06-23 11:14:03,864 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:04,355 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972043.8643746, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:04,355 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:04,857 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972044.3560896, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:04,858 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:05,359 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972044.8585505, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:05,360 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:05,860 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972045.361064, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:05,860 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:06,361 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972045.8610513, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:06,362 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:06,863 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972046.3625393, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:06,864 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:07,365 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972046.8652349, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:07,366 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:07,866 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972047.3663595, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:07,866 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:08,367 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972047.8670967, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:08,368 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:08,869 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972048.3688734, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:08,870 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:09,371 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972048.8710182, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:09,372 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:09,872 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972049.3723934, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:09,873 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:10,373 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972049.8731534, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:10,374 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:10,875 INFO       decors --- server ---Была вызвана функция process_client_message c параметрами ({'action': 'presence', 'time': 1655972050.3750997, 'user': {'account_name': 'Guest'}}, [], <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 41324)>), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2022-06-23 11:14:10,875 INFO       decors --- client ---Была вызвана функция create_presence c параметрами (), {}. Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
